timestamp,blocknumber,chain,contract,from,to,value
1651458748,11000051,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x3D6bA331e3D9702C5e8A8d254e5d8a285F223aba,0x0f1042F57e2AAD1855457BD8EfB3bd2263612992,12779327077
1651458811,11000096,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xE8E61Db7918bD88E5ff764Ad5393e87D7AaEf9aD,0x1C5ffa4FB4907B681c61B8c82b28C4672ceb1974,14050000000
1651458694,11000022,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x625E7708f30cA75bfd92586e17077590C60eb4cD,0xaB4C86F16b0F933Bcc8Ce72893074CE9E426426D,424000000
1651458694,11000036,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x1619DE6B6B20eD217a58d00f37B9d47C7663feca,0xdB7E4d4dd546a6Df6F9a312761e1B63C2036a782,182936866
1651458811,11000107,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xaB4C86F16b0F933Bcc8Ce72893074CE9E426426D,0x26271DFdDBD250014F87F0F302C099d5a798BaB1,424000000
1651458748,11000046,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x5481484616fd5Bcc97Dd5Bbb4F58dAADF34d099D,0x9Eea8E424Ca2e03beF5eee46668d5D98EA0EAAA7,107489392
1651458748,11000081,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,0xdc05E71bb0d74A9798A844244c318499357DB5a6,50000000
1651458889,11000153,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x26bB8aD71b2abA07536378F35a946160A162ce91,0x7f90122BF0700F9E7e1F688fe926940E8839F353,500000000
1651458748,11000087,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xdB7E4d4dd546a6Df6F9a312761e1B63C2036a782,0x905dfCD5649217c42684f23958568e533C711Aa3,187960477
1651458928,11000181,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xF756996D12691292248fFa75d017718f530003Fa,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,50000000
1651458811,11000107,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x26271DFdDBD250014F87F0F302C099d5a798BaB1,0xBA12222222228d8Ba445958a75a0704d566BF2C8,424000000
1651458748,11000078,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x1619DE6B6B20eD217a58d00f37B9d47C7663feca,0xdB7E4d4dd546a6Df6F9a312761e1B63C2036a782,188790568
1651458748,11000085,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xEa5Ed53ec1244a1BAF72086c6f5726b1Dd913FdC,0x892785f33CdeE22A30AEF750F285E18c18040c3e,648332207049
1651458811,11000119,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xdc05E71bb0d74A9798A844244c318499357DB5a6,0xf7EDB240DbF7BBED7D321776AFe87D1FBcFD0A94,50000000
1651458811,11000122,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xD7a827FBaf38c98E8336C5658E4BcbCD20a4fd2d,0xED6d3736c660b88f0D8aa50D3170CB156a420c72,24993000000
1651458928,11000220,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,0x94Ec9b292B153F046040766E46588664e1319DC4,863796686
1651458694,11000039,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xdB7E4d4dd546a6Df6F9a312761e1B63C2036a782,0x905dfCD5649217c42684f23958568e533C711Aa3,182106775
1651459090,11000259,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,0x2A1C9846FD452537992b0dBE7147a9F07aA3Cd05,2547502375
1651458694,11000015,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0xB0767b217FB1530b064bB1F835C57c047c08aE72,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,1000000000
1651459255,11000346,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,0x1CeBE988e1ac61B2C8B51c30931FE1955457654F,100000
1651459375,11000471,arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x905dfCD5649217c42684f23958568e533C711Aa3,0x9FA9d7b8cE2ca10a78476197709E17c361f62ECC,100000
